class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,x,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,?,g
e,f,f,n,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,y,d
e,x,s,g,?,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,s,g
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,?,w,o,p,k,n,?
e,x,f,n,t,n,f,c,b,?,t,b,s,s,p,p,p,w,o,p,k,y,d
e,x,y,y,t,l,f,?,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
e,f,f,g,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
e,f,f,n,t,n,?,c,b,u,t,b,s,s,p,p,p,w,o,p,n,y,d
e,x,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,?,k,?,g
?,?,f,n,f,?,f,w,b,k,t,e,s,s,w,w,p,w,?,e,n,s,g
p,x,s,w,t,p,f,c,n,n,e,e,s,s,?,w,p,w,o,p,k,s,u
e,x,f,w,f,n,f,w,b,n,t,e,f,f,w,?,p,w,o,e,n,s,g
e,f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,s,w,f,?,f,w,b,n,t,?,s,f,w,w,p,w,o,e,n,a,g
e,x,s,g,f,n,f,w,b,k,t,e,s,f,w,w,?,w,o,e,k,a,g
e,?,y,y,t,l,?,c,b,n,e,c,s,s,w,w,?,w,?,p,n,n,g
e,x,s,y,t,l,f,c,b,n,e,c,s,s,w,w,p,?,o,p,k,n,m
e,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g
e,x,s,n,?,n,?,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
e,f,s,w,f,n,f,?,b,k,t,e,s,f,w,w,p,w,o,e,k,s,g
e,f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,?,p,?,s,m
e,f,s,w,t,a,f,w,n,w,t,b,s,s,?,w,?,w,o,p,u,v,d
e,b,s,w,t,l,f,c,b,w,e,c,?,s,w,w,p,w,o,p,n,n,m
p,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,f,g,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,k,y,?
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
p,x,s,w,t,p,f,c,?,w,e,e,?,s,w,?,p,w,o,p,k,v,g
e,x,y,n,t,l,f,c,b,p,e,r,s,y,?,w,p,w,o,p,n,y,g
e,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
e,f,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,?,g
e,x,f,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,w,t,l,f,c,b,k,?,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,x,s,w,f,n,f,w,?,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,y,?,t,a,f,c,b,p,e,r,s,y,w,w,p,?,o,p,n,s,p
e,f,s,n,f,n,f,w,b,n,?,e,s,f,w,w,p,w,o,e,k,s,g
e,f,f,g,f,n,f,?,b,h,t,e,f,f,w,w,?,w,o,e,k,s,?
e,?,f,y,t,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,f,y,n,t,l,f,c,b,n,e,r,?,y,w,w,p,w,o,p,?,s,g
e,x,?,n,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
p,f,s,n,t,p,f,c,n,w,e,?,s,s,w,w,p,w,o,p,n,s,g
e,x,f,n,t,n,f,c,b,n,t,b,s,s,w,?,p,w,o,p,k,v,d
e,f,f,n,f,n,f,w,b,n,t,e,f,?,w,w,p,?,o,e,n,?,g
e,b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,y,w,t,a,f,c,b,w,e,c,s,?,?,w,p,w,o,p,n,s,?
p,f,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
p,f,y,w,t,p,f,c,n,p,e,e,s,s,w,?,p,w,o,p,n,s,g
e,x,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,?,n,v,u
e,f,s,y,t,l,f,w,n,w,t,b,s,?,w,w,p,w,o,p,u,v,d
e,x,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,w,f,n,f,w,b,k,t,e,s,s,w,w,p,?,o,e,k,a,g
e,x,f,g,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
?,?,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,v,g
e,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,?,e,n,s,g
e,f,f,n,f,n,f,w,b,p,t,e,s,f,w,w,p,?,o,e,n,s,g
e,x,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,f,w,f,n,f,w,b,p,t,e,f,f,w,?,p,w,o,e,k,a,g
e,x,y,y,t,a,f,c,b,?,?,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,y,t,a,f,w,n,n,t,b,?,s,w,w,p,w,?,p,n,v,d
e,x,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,?,y,u
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,y,y,t,a,?,c,b,w,e,r,s,y,w,w,p,w,o,p,?,y,p
e,f,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p
e,?,f,w,f,n,f,w,b,h,t,e,?,s,?,w,p,w,o,e,k,a,g
e,x,y,n,t,n,f,c,b,u,t,?,s,s,g,?,p,w,o,p,n,v,d
e,x,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,?,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,f,g,f,n,f,?,b,h,t,e,s,f,w,w,p,w,o,e,n,?,g
p,f,y,n,t,p,f,c,n,n,e,?,s,s,w,w,p,w,o,p,n,s,u
e,x,f,n,t,n,f,c,b,p,t,b,s,s,?,w,p,w,o,p,k,v,d
e,x,f,?,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,f,e,t,?,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,?,d
e,x,f,?,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,?,a,g
e,x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
e,x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,b,s,y,t,l,f,c,?,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,f,w,t,l,f,?,n,p,t,b,s,s,w,w,p,w,o,p,n,?,d
e,f,s,g,f,n,f,w,b,k,t,e,s,?,w,w,p,w,o,e,n,s,?
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,?,?,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
?,x,s,g,f,n,f,?,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,g,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
p,f,y,?,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,f,?,y,t,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,f,w,f,n,f,w,b,p,t,e,?,s,?,w,p,w,?,e,n,a,g
?,x,f,n,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,?,d
e,x,y,n,?,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,s,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
p,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,y,t,a,f,c,b,k,e,c,?,s,w,w,p,w,o,p,n,s,g
e,x,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
e,f,y,y,t,?,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,f,?,g,f,n,f,?,b,k,t,e,f,s,?,w,p,?,o,e,k,a,g
e,f,f,?,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
p,f,y,w,t,p,f,?,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,y,n,?,l,f,?,b,p,e,r,s,y,w,w,p,w,o,p,k,s,?
e,f,f,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
p,f,y,n,t,p,f,c,?,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,f,g,f,n,f,w,b,n,?,e,f,f,?,w,p,w,o,e,k,s,g
?,b,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,f,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,?,n,s,g
e,b,y,w,t,l,f,c,b,n,e,?,s,s,w,w,p,w,o,p,n,n,m
?,x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,y,n,t,p,f,c,n,n,e,e,s,s,?,w,p,w,o,?,k,v,?
e,x,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,?
e,s,f,n,f,n,f,c,?,n,e,e,s,s,w,w,p,w,?,p,k,y,u
e,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g
e,f,f,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g
e,f,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,s,g,f,n,f,w,?,p,t,e,f,f,w,w,p,w,o,e,n,a,g
p,f,y,n,t,p,f,c,n,n,e,?,?,s,w,w,p,w,o,p,k,v,u
e,x,f,g,f,n,f,w,b,p,t,e,s,s,w,?,p,w,o,e,k,a,g
e,x,?,g,f,n,?,w,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,f,g,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
p,x,y,?,t,p,f,c,n,n,e,e,s,s,w,w,p,?,o,p,n,s,g
e,x,f,n,f,n,f,w,b,k,t,e,f,f,?,w,p,w,o,e,n,a,g
e,f,s,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,g,f,n,f,w,b,h,t,e,?,s,w,w,p,w,o,e,n,s,g
?,x,y,n,t,p,f,?,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
e,f,f,n,f,n,f,w,b,n,t,e,s,f,w,?,?,w,o,e,n,a,g
e,f,s,w,f,n,f,w,b,n,t,e,f,?,w,w,p,w,o,e,k,a,g
p,x,y,w,t,?,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,v,u
e,f,f,g,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,s,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,?
e,x,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
e,f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
e,f,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g
e,f,f,g,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,f,g,f,n,?,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,s,g
e,f,f,n,f,n,f,w,b,k,t,e,f,?,w,w,p,w,o,e,k,s,g
e,x,s,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,f,w,f,n,f,w,b,p,t,e,f,?,w,w,p,w,o,?,k,s,g
e,f,f,w,f,n,f,?,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
e,x,s,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,f,n,?,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d
e,f,?,y,t,a,?,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
?,f,s,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,?,k,?,g
e,b,s,y,t,a,f,?,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,f,w,f,n,f,w,b,h,t,e,s,?,w,w,?,?,o,e,n,a,g
e,x,f,g,f,n,f,w,b,k,t,e,s,f,w,w,?,w,o,e,k,a,g
p,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,?,f,n,f,w,b,?,t,e,?,s,w,w,p,?,o,e,k,a,g
p,x,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,g
e,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,?,o,e,?,s,g
e,x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,?,f,n,f,w,b,h,?,e,s,s,w,w,p,w,o,e,k,s,g
e,x,?,n,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
e,b,y,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,?,f,w,?,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,?,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g
?,f,f,w,?,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,f,n,t,n,f,c,b,p,?,b,s,s,w,p,p,w,o,p,n,v,d
e,?,f,w,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,s,w,f,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,k,a,g
e,x,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,?
e,x,?,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g
e,f,s,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,f,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,?,g,f,n,f,w,b,h,t,e,f,f,w,?,p,w,o,e,k,a,g
?,f,s,n,f,n,f,?,b,h,t,e,f,s,w,w,p,w,o,e,k,a,g
e,f,s,w,f,n,f,w,b,p,t,e,f,f,w,w,?,w,o,e,k,a,g
?,f,y,n,t,a,f,c,b,n,?,r,s,y,w,w,p,w,o,p,k,y,p
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,?,w,o,p,n,v,g
e,f,s,g,f,n,f,w,b,?,t,e,f,s,w,w,p,w,o,e,k,a,g
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,?,v,g
e,b,y,w,t,a,f,c,b,k,e,?,s,s,?,w,p,?,o,p,n,s,m
e,x,s,g,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,f,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,a,g
e,f,f,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,s,g
e,f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
e,b,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,?,p,n,n,g
e,x,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,f,e,t,n,?,c,b,p,t,b,s,s,w,?,p,w,o,p,n,v,d
e,x,y,y,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,x,s,w,f,n,f,w,b,k,t,e,?,f,w,w,?,w,o,e,k,s,g
e,b,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,?
e,x,f,?,t,n,f,c,b,p,t,b,s,?,?,p,p,w,o,p,k,y,d
e,f,s,n,f,n,f,w,b,n,t,e,?,s,w,w,p,w,o,e,k,s,g
e,b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
?,x,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g
e,x,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d
e,f,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,f,n,f,n,f,?,n,g,e,e,?,s,w,w,?,w,o,p,k,v,u
e,x,f,g,f,n,f,c,n,g,e,e,?,s,w,w,p,w,o,p,k,v,u
e,x,f,g,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u
e,b,y,y,t,l,f,c,b,?,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,n,f,n,f,c,n,g,e,e,s,s,?,w,p,w,o,p,n,v,u
e,x,f,w,f,n,?,w,?,k,t,e,s,f,w,w,p,w,o,e,n,a,g
e,f,y,n,t,a,?,c,b,w,e,?,s,y,w,w,p,w,o,p,k,?,p
e,x,y,n,t,l,f,c,b,?,e,r,s,y,w,w,p,w,o,?,k,y,p
e,x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,y,g
e,f,f,g,f,n,f,w,b,h,?,e,f,s,w,w,p,w,o,e,n,a,?
e,x,?,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,?,p,k,n,g
e,x,?,?,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
?,f,s,w,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,s,g,?,n,f,w,?,h,t,e,s,s,w,w,p,w,o,e,k,a,g
p,f,s,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,f,n,?,n,?,w,b,p,t,e,s,s,w,w,p,w,o,e,?,s,g
e,x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,?,g
e,x,s,y,t,l,f,c,b,w,e,c,s,s,w,w,p,w,?,p,n,s,m
e,x,f,e,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,f,y,n,t,l,f,c,b,p,e,r,s,?,?,w,p,w,o,p,n,s,p
e,b,s,w,t,a,f,?,b,g,?,c,s,s,w,w,p,w,o,p,k,?,g
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,?,g
e,x,f,g,f,?,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,b,y,w,t,a,f,c,b,n,e,c,?,s,w,w,p,w,o,?,n,n,m
e,x,s,w,t,l,f,?,b,k,e,c,s,s,w,w,p,w,o,p,n,?,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,?,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,s,y,t,a,f,c,b,g,e,c,s,?,w,w,p,w,o,p,n,n,g
e,b,s,w,t,?,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,?,g
e,f,s,n,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
p,f,s,w,t,p,f,?,n,n,e,e,s,s,w,w,p,w,o,p,n,s,g
e,f,s,n,f,n,f,w,b,h,t,e,s,?,w,w,p,w,o,e,n,a,?
e,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
p,f,y,w,t,p,f,c,n,p,e,e,s,?,w,w,p,?,o,p,k,s,u
e,f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,?,e,k,a,g
e,x,f,?,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,x,s,n,f,n,f,w,b,p,t,e,?,f,w,w,p,w,o,e,k,a,g
e,f,s,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
e,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,g
e,x,f,?,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,a,g
e,?,f,n,f,n,f,w,b,n,t,?,s,s,w,w,p,w,o,e,k,a,g
?,f,s,n,t,p,f,c,n,k,e,e,?,s,w,w,p,w,o,p,?,v,g
e,x,s,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,?,n,a,g
e,f,f,n,f,n,f,w,b,p,t,e,f,s,?,w,p,w,?,e,k,s,g
e,f,f,w,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,f,w,f,?,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,y,y,t,a,f,c,b,n,e,r,s,y,w,?,p,w,o,p,?,s,g
e,x,s,g,?,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,s,g
e,x,f,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,?,g
e,f,?,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,s,n,f,n,f,w,b,p,t,e,f,s,w,w,p,w,?,e,k,a,g
e,x,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,?,k,s,g
e,?,?,e,t,n,f,c,b,w,t,?,s,s,g,p,p,w,o,p,n,v,d
e,x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
p,x,s,?,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,y,?,t,n,f,?,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d
e,x,f,n,f,n,f,?,b,n,t,e,s,?,w,w,p,w,o,e,n,s,?
p,f,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,?,?,n,s,g
e,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
e,x,f,w,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,?,g
e,f,s,n,f,n,f,w,b,h,t,e,s,f,?,w,p,w,o,e,k,a,g
e,f,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g
e,?,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,?,o,e,k,a,g
e,f,?,g,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,s,g,f,n,f,w,b,h,t,e,s,f,?,w,p,w,o,e,n,s,g
e,x,s,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g
p,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,s,g,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
p,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,?,o,p,k,s,g
p,f,s,w,t,p,?,c,n,w,e,e,s,s,w,w,p,w,o,p,n,?,u
?,f,s,n,f,n,f,?,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,f,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
e,f,s,g,?,?,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,?
e,x,s,?,f,n,f,w,b,k,t,?,s,?,w,w,p,w,o,e,?,a,g
e,f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,a,g
e,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
e,x,y,g,t,n,f,?,b,n,t,b,s,s,g,p,p,w,o,p,n,y,d
e,x,f,n,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,s,w,f,n,f,w,?,k,t,e,s,f,w,w,p,w,o,e,n,a,g
p,f,y,w,t,p,f,c,n,p,e,e,s,?,w,?,?,w,o,p,n,v,g
p,?,y,n,t,p,?,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
?,f,s,n,t,p,f,c,n,k,e,?,s,s,w,w,p,w,o,p,n,s,g
e,f,f,n,f,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,k,s,g
e,f,s,w,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,?,a,g
p,f,s,n,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
p,f,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
?,f,y,n,t,p,f,c,n,w,e,e,s,s,?,w,p,w,o,p,k,v,g
p,f,s,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
e,x,s,w,f,n,f,w,b,k,t,?,?,?,w,w,p,w,o,e,k,a,?
e,x,f,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
e,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g
e,f,f,g,f,n,f,w,b,p,t,e,f,s,w,?,p,w,o,e,k,a,g
p,f,y,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
e,x,s,w,f,n,f,w,b,k,?,e,f,f,w,w,p,w,o,e,n,s,?
e,?,y,e,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,y,d
?,f,s,g,f,n,f,w,b,n,?,e,f,s,w,w,p,w,o,e,k,s,g
e,x,s,w,f,n,f,w,b,n,t,e,?,f,w,w,p,w,o,e,?,s,g
p,f,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
?,f,f,n,f,?,f,w,b,k,t,e,f,s,w,w,p,w,?,e,n,a,g
